============================================================================================
ANSOFT                                                                              04/04/20
XY Plot 3                                                                           14:48:11

--------------------------------------------------------------------------------------------
        Freq [GHz]         dB(S(2,2)) []         dB(S(5,2)) []
                                                              
 2.000000000000000   -16.144627255713448   -15.101107114926112
 2.100000000000000   -16.985412087582624   -15.321997507700855
 2.200000000000000   -17.854381478410318   -15.529878368770788
 2.300000000000000   -18.753857695741122   -15.726146194345285
 2.400000000000000   -19.685967803158015   -15.912230081448795
 2.500000000000000   -20.652459148388207   -16.089578413776970
 2.600000000000000   -21.654441524058448   -16.259646717578001
 2.700000000000000   -22.692027791011196   -16.423885824544108
 2.800000000000000   -23.763841815327844   -16.583729804560214
 2.900000000000000   -24.866368784106434   -16.740583410152755
 3.000000000000000   -25.993152034714456   -16.895809019746004
 3.100000000000000   -27.133915853648748   -17.050713282766480
 3.200000000000000   -28.273844054452454   -17.206533853578307
 3.300000000000000   -29.393476430149917   -17.364426745524749
 3.400000000000000   -30.469914877163816   -17.525454930899684
 3.500000000000000   -31.479996306742205   -17.690578847892105
 3.600000000000000   -32.405415884510290   -17.860649445357978
 3.700000000000000   -33.238442219638756   -18.036404300640104
 3.800000000000000   -33.985757798096571   -18.218467192076403
 3.900000000000000   -34.668463355053817   -18.407351311374686
 4.000000000000000   -35.318477449141604   -18.603466082723578
 4.100000000000000   -35.973589924255776   -18.807127339425836
 4.200000000000000   -36.673651167554880   -19.018570418419724
 4.300000000000000   -37.459185852640587   -19.237965587536504
 4.400000000000000   -38.372511682966753   -19.465435132106013
 4.500000000000000   -39.460911274538667   -19.701071400837691
 4.600000000000000   -40.781097159803593   -19.944955142259850
 4.700000000000000   -42.402049140983635   -20.197173542728500
 4.800000000000000   -44.390040207633689   -20.457837491732608
 4.900000000000000   -46.689686475356325   -20.727097735415011
 5.000000000000000   -48.591593676681207   -21.005159721559011
 5.100000000000000   -48.343647714617447   -21.292297078199176
 5.200000000000000   -46.068328471103506   -21.588863796582540
 5.300000000000000   -43.495260139080742   -21.895305304322857
 5.400000000000000   -41.248632872835501   -22.212168716651888
 5.500000000000000   -39.363901798584834   -22.540112646014748
 5.600000000000000   -37.774774250163674   -22.879917038589689
 5.700000000000000   -36.417316506684017   -23.232493598303133
 5.800000000000000   -35.242883949661945   -23.598897464080814
 5.900000000000000   -34.215809510503725   -23.980340936137210
 6.000000000000000   -33.309785983999191   -24.378210216851556
 6.100000000000000   -32.505071120394661   -24.794086360741247
 6.200000000000000   -31.786555278676019   -25.229771943243286
 6.300000000000000   -31.142450761045112   -25.687325398350893
 6.400000000000000   -30.563395850005275   -26.169105598458966
 6.500000000000000   -30.041831763938085   -26.677830144212663
 6.600000000000000   -29.571560527539809   -27.216652135098578
 6.700000000000000   -29.147424558698496   -27.789262121397744
 6.800000000000000   -28.765069591443297   -28.400024849549624
 6.900000000000000   -28.420765718772362   -29.054164894429938
 7.000000000000000   -28.111269747377300   -29.758022323298054
 7.100000000000000   -27.833717514383590   -30.519410898635037
 7.200000000000000   -27.585538428210885   -31.348130113184077
 7.300000000000000   -27.364386936243847   -32.256714264606416
 7.400000000000000   -27.168087306192973   -33.261557496631312
 7.500000000000000   -26.994589292702273   -34.384653409278890
 7.600000000000000   -26.841933105070428   -35.656368363652895
 7.700000000000000   -26.708222693363432   -37.119985567673183
 7.800000000000000   -26.591606786503451   -38.839217209405930
 7.900000000000000   -26.490267379250426   -40.909743577672756
 8.000000000000000   -26.402415491526313   -43.467854118824832
 8.100000000000000   -26.326294021135151   -46.610109075703349
 8.199999999999999   -26.260187385950026   -49.573986821220146
 8.300000000000001   -26.202437415296359   -49.197807514181370
 8.400000000000000   -26.151464624331744   -46.160161019996494
 8.500000000000000   -26.105793626026930   -43.284744532829336
 8.600000000000000   -26.064081054627199   -40.992911034041029
 8.699999999999999   -26.025144055820988   -39.157161396352500
 8.800000000000001   -25.987987209096705   -37.648929590179051
 8.900000000000000   -25.951825744231250   -36.380203749741810
 9.000000000000000   -25.916103130052051   -35.292264990669381
 9.100000000000000   -25.880501547726244   -34.344960152859400
 9.199999999999999   -25.844944371029158   -33.509928822093215
 9.300000000000001   -25.809590485508199   -32.766512516601537
 9.400000000000000   -25.774820989745990   -32.099245965866075
 9.500000000000000   -25.741219437151997   -31.496273660110301
 9.600000000000000   -25.709547217733345   -30.948319334145769
 9.699999999999999   -25.680715902159740   -30.447995608291013
 9.800000000000001   -25.655758370434611   -29.989329180100253
 9.900000000000000   -25.635800354515617   -29.567426480089438
10.000000000000000   -25.622033691151998   -29.178233235643013
10.100000000000000   -25.615692169438582   -28.818358287044351
10.199999999999999   -25.618030424040864   -28.484942285560155
10.300000000000001   -25.630305913102745   -28.175558326925803
10.400000000000000   -25.653763655195171   -27.888135681911457
10.500000000000000   -25.689623090344092   -27.620900472063838
10.600000000000000   -25.739066169393393   -27.372328931724685
10.699999999999999   -25.803225546063267   -27.141110117213422
10.800000000000001   -25.883171522578280   -26.926115768942033
10.900000000000000   -25.979896154837093   -26.726375627584765
11.000000000000000   -26.094292628696650   -26.541056932055277
11.100000000000000   -26.227127650202288   -26.369447137947954
11.199999999999999   -26.379004133410557   -26.210939125603637
11.300000000000001   -26.550310922683536   -26.065018340942657
11.400000000000000   -26.741155692946364   -25.931251445995265
11.500000000000000   -26.951276644838128   -25.809276160898136
11.600000000000000   -27.179928395737068   -25.698792062784186
11.699999999999999   -27.425738025863492   -25.599552174801609
11.800000000000001   -27.686529374926394   -25.511355234067178
11.900000000000000   -27.959118664791980   -25.434038573054881
12.000000000000000   -28.239094092907990   -25.367471586234309
12.100000000000000   -28.520608089803154   -25.311549783572502
12.199999999999999   -28.796234355985540   -25.266189455285758
12.300000000000001   -29.056970002559630   -25.231322988235064
12.400000000000000   -29.292486242440461   -25.206894883818851
12.500000000000000   -29.491728925696137   -25.192858530399803
12.600000000000000   -29.643915820924160   -25.189173780655651
12.699999999999999   -29.739854785864090   -25.195805376419198
12.800000000000001   -29.773340543098907   -25.212722251469462
12.900000000000000   -29.742260049297457   -25.239897727457961
13.000000000000000   -29.649051370774391   -25.277310600963968
13.100000000000000   -29.500355744214424   -25.324947101893791
13.199999999999999   -29.305987846131217   -25.382803686357729
13.300000000000001   -29.077563703365307   -25.450890611909909
13.400000000000000   -28.827164612280626   -25.529236230515590
13.500000000000000   -28.566300969205098   -25.617891925387291
13.600000000000000   -28.305272776398056   -25.716937612112496
13.699999999999999   -28.052892505338590   -25.826487722089780
13.800000000000001   -27.816473051768696   -25.946697586623326
13.900000000000000   -27.601976136029734   -26.077770142122926
14.000000000000000   -27.414237789866430   -26.219962879364225
14.100000000000000   -27.257216019762261   -26.373594960875415
14.199999999999999   -27.134230236485788   -26.539054427884693
14.300000000000001   -27.048179295987115   -26.716805408748769
14.400000000000000   -27.001735637409308   -26.907395220059669
14.500000000000000   -26.997518897896484   -27.111461213483384
14.600000000000000   -27.038255346607933   -27.329737156617341
14.699999999999999   -27.126930855019040   -27.563058830792279
14.800000000000001   -27.266945744091181   -27.812368361232046
14.900000000000000   -27.462280108264032   -28.078716531747183
15.000000000000000   -27.717678025589059   -28.363261924558508
15.100000000000000   -28.038857598545761   -28.667265083268177
15.199999999999999   -28.432748641078636   -28.992074893551155
15.300000000000001   -28.907744872291978   -29.339102808533397
15.400000000000000   -29.473917001683603   -29.709778098622962
15.500000000000000   -30.143026658627218   -30.105473498145969
15.600000000000000   -30.927903066676027   -30.527384746394045
15.699999999999999   -31.840018556456645   -30.976338608376210
15.800000000000001   -32.882239361693635   -31.452490874733460
15.900000000000000   -34.029390065315063   -31.954857815782816
16.000000000000000   -35.182581665270028   -32.480602941689142
16.100000000000001   -36.093984495366257   -33.023983729503243
16.199999999999999   -36.365934811940633   -33.574875217725669
16.300000000000001   -35.748737935438477   -34.116889129451955
16.399999999999999   -34.446857723731014   -34.625409924586236
16.500000000000000   -32.862525139239743   -35.066495582566205
16.600000000000001   -31.264527023280856   -35.398441846009845
16.699999999999999   -29.764758939354152   -35.578068336553052
16.800000000000001   -28.393799137017663   -35.571849044037876
16.899999999999999   -27.150555621156222   -35.367535935862122
17.000000000000000   -26.023895271976812   -34.978948563732381
17.100000000000001   -25.000804682619105   -34.440354048056442
17.199999999999999   -24.069163344985501   -33.794609494139756
17.300000000000001   -23.218496284029225   -33.082358966474345
17.399999999999999   -22.440007934246175   -32.336217254864692
17.500000000000000   -21.726388890033643   -31.579530362785842
17.600000000000001   -21.071576735631417   -30.827614236294476
17.699999999999999   -20.470533498908154   -30.089742084988607
17.800000000000001   -19.919057287104422   -29.371000457979353
17.899999999999999   -19.413629216949289   -28.673730562436461
18.000000000000000   -18.951291357979024   -27.998551184681233
18.100000000000001   -18.529550188435127   -27.345049950074937
18.199999999999999   -18.146300290913452   -26.712237633572311
18.300000000000001   -17.799763613773951   -26.098842005981709
18.399999999999999   -17.488440178263509   -25.503496190765240
18.500000000000000   -17.211066464288912   -24.924858860206065
18.600000000000001   -16.966577799747352   -24.361690850283516
18.699999999999999   -16.754070879185804   -23.812904078404525
18.800000000000001   -16.572762024660207   -23.277592872157797
18.899999999999999   -16.421935961531329   -22.755054010546779
